Title,Year,Type,Genres,Platform,Rating,Language
Legacy of Chronicles 83,1990,TV Series,"Romance, Action, Crime",HBO Max,6.8,English
Simha Origin 70,2011,Movie,Mystery,Disney+,7.8,Kannada
Swapna Returns 14,2019,TV Series,"Horror, History, Fantasy",MX Player,4.5,Marathi
The Last Chronicles 76,1998,Movie,"Thriller, Crime, Mystery",Amazon Prime,4.5,English
Pushpa Forever 3,1995,TV Series,Mystery,Hulu,8.5,Telugu
Vikram Legacy 51,2020,TV Series,"History, Sci-Fi",Amazon Prime,4.1,Telugu
Asuran Part 1 86,1995,Movie,"Action, Horror",HBO Max,7.8,Tamil
Vikram Legacy 36,2014,TV Series,"Action, Romance, Crime",Amazon Prime,6.6,Telugu
Yuddha Part 1 1,1996,Movie,Biography,SonyLIV,9.2,Kannada
Jung Part 2 64,2013,Movie,"Mystery, Animation, Action",Theatrical,5.2,Hindi
Nayak Returns 57,2013,TV Series,"Crime, Mystery",Apple TV+,5.9,Kannada
Vat Origin 96,2021,TV Series,"Drama, Animation, Thriller",MX Player,5.9,Marathi
Yuddham Legacy 67,2005,TV Series,Animation,MX Player,6.2,Telugu
Orma Chronicles 63,2008,TV Series,"History, Sci-Fi",Netflix,7.9,Malayalam
Dost Returns 18,2026,TV Series,Drama,HBO Max,0.0,Hindi
Yuddha Returns 52,1991,TV Series,Drama,Netflix,6.0,Kannada
Baahubali Part 1 24,2020,Movie,History,Disney+,5.7,Telugu
Preethi Forever 54,2025,Movie,"Action, Horror",MX Player,0.0,Kannada
Apna Evolution 52,1994,TV Series,"Fantasy, Crime, Sci-Fi",Hulu,5.2,Hindi
Mauli Forever 33,2010,Movie,"Action, Fantasy, Mystery",Amazon Prime,5.3,Marathi
Secret Origin 75,2003,TV Series,Comedy,Theatrical,5.2,English
Sarkar Chronicles 40,2024,TV Series,"Crime, Action",Theatrical,8.5,Tamil
Raju Forever 10,2023,TV Series,"History, Thriller, Biography",Hulu,6.0,Telugu
Prema Origin 33,2019,TV Series,Thriller,Theatrical,7.9,Telugu
Veeram Chronicles 45,2005,Movie,"Biography, Romance",Hulu,5.4,Tamil
Snehithan Rebirth 95,2012,Movie,Horror,Disney+,5.4,Malayalam
Drishyam Forever 76,2025,TV Series,Animation,Apple TV+,0.0,Malayalam
Sankranthi Part 1 28,2008,TV Series,History,HBO Max,9.3,Telugu
Premachi Returns 10,1996,TV Series,"Sci-Fi, Romance, Thriller",Planet Marathi,5.7,Marathi
Prem Returns 4,2025,TV Series,"Biography, History, Romance",SonyLIV,0.0,Hindi
Pranayam Part 2 86,2005,TV Series,"Sci-Fi, Crime",Netflix,9.4,Malayalam
Drishyam Rebirth 93,2018,Movie,"Fantasy, Drama, Animation",Netflix,9.0,Malayalam
Veedu Part 1 82,1994,TV Series,Comedy,Hulu,4.7,Malayalam
Nayakudu Rebirth 15,2018,Movie,"Drama, History",Theatrical,4.4,Telugu
Prema Part 2 3,1998,Movie,Mystery,HBO Max,4.0,Telugu
Ammayum Evolution 50,1997,Movie,History,HBO Max,6.0,Malayalam
Sankranthi Story 70,2017,Movie,History,Theatrical,8.8,Telugu
Asuran Evolution 38,2025,Movie,"Sci-Fi, Fantasy, Action",Amazon Prime,0.0,Tamil
Empire of Story 12,1994,TV Series,Comedy,SonyLIV,8.4,English
KGF Forever 34,1995,Movie,Comedy,Apple TV+,6.5,Kannada
Pranayam Chronicles 43,2014,TV Series,"Action, Horror, Biography",Planet Marathi,8.6,Malayalam
Kantara Returns 83,2019,Movie,History,SonyLIV,7.9,Kannada
Puli Story 78,2025,TV Series,"History, Thriller, Animation",SonyLIV,0.0,Tamil
Raju Part 2 34,1996,Movie,"History, Action, Thriller",Amazon Prime,4.7,Telugu
Yathra Legacy 24,2004,Movie,"Horror, Drama, Romance",Amazon Prime,6.4,Malayalam
Dharma Part 1 53,2024,Movie,Action,Amazon Prime,7.3,Telugu
Kantara Evolution 13,2012,TV Series,"Action, Romance",Planet Marathi,7.6,Kannada
Kahaani Chronicles 67,2007,Movie,"Crime, Biography",Theatrical,5.0,Hindi
Orma Chronicles 68,2019,Movie,"Fantasy, Action",Theatrical,5.8,Malayalam
Dil Evolution 71,2012,Movie,"Drama, Thriller",Apple TV+,8.1,Hindi
Nayak Returns 98,2017,Movie,Comedy,Disney+,6.4,Kannada
Sankranti Part 1 93,2001,TV Series,Horror,Apple TV+,8.4,Kannada
Legacy of Chronicles 5,1997,Movie,"Drama, Horror",SonyLIV,4.9,English
Snehithan Story 21,2022,Movie,Animation,Apple TV+,4.1,Malayalam
Simha Forever 5,2016,Movie,Fantasy,Apple TV+,8.5,Kannada
Katha Story 23,1996,TV Series,"Action, Mystery",Hulu,8.9,Marathi
Vikram Part 2 61,2010,TV Series,"Sci-Fi, Crime, Thriller",Apple TV+,8.0,Telugu
Prem Chronicles 58,1993,TV Series,"Comedy, Crime, Fantasy",HBO Max,5.3,Hindi
Asuran Returns 46,2017,TV Series,"Drama, Animation",Theatrical,7.0,Tamil
Pranayam Chronicles 78,1994,TV Series,"Animation, History",Disney+,7.6,Malayalam
Prem Part 2 19,2023,Movie,"Thriller, Biography, Animation",Theatrical,4.6,Hindi
Premam Legacy 73,2012,TV Series,"Crime, Horror",Hulu,7.9,Malayalam
Nayak Chronicles 67,2001,Movie,"Fantasy, Sci-Fi",HBO Max,9.4,Kannada
Pushpa Forever 38,1998,Movie,"Romance, Thriller",Hulu,6.5,Telugu
Premam Part 1 68,1996,Movie,"Romance, Comedy, Crime",Netflix,8.5,Malayalam
War for Part 1 94,2017,Movie,"Mystery, Animation",Planet Marathi,9.1,English
Secret Chronicles 27,1994,Movie,Animation,Planet Marathi,6.0,English
Veedu Rebirth 48,2004,Movie,Romance,Netflix,4.3,Malayalam
Secret Returns 35,1990,Movie,"Crime, Mystery, Fantasy",Disney+,9.4,English
Dharma Part 1 67,2011,Movie,History,MX Player,5.7,Telugu
Premam Legacy 96,1990,TV Series,Sci-Fi,Netflix,9.5,Malayalam
Premam Chronicles 46,1991,TV Series,"Romance, Crime",MX Player,8.9,Malayalam
Prem Forever 82,2016,Movie,"Comedy, Crime",Amazon Prime,4.7,Hindi
Dharma Evolution 33,2020,Movie,Thriller,HBO Max,5.8,Telugu
Nayakan Returns 39,1992,TV Series,Crime,SonyLIV,6.9,Tamil
Dharma Origin 14,2004,Movie,Animation,HBO Max,7.1,Telugu
Vikram Chronicles 61,2015,Movie,Horror,SonyLIV,7.8,Telugu
Raju Chronicles 100,1994,Movie,"Crime, Comedy",Amazon Prime,8.1,Telugu
Legacy of Legacy 97,2022,Movie,Animation,SonyLIV,6.7,English
Empire of Legacy 62,2003,Movie,History,Amazon Prime,4.1,English
Asuran Story 26,1999,TV Series,"Crime, Comedy",Disney+,6.4,Tamil
Vat Rebirth 83,1990,TV Series,Fantasy,Disney+,6.1,Marathi
Yuddham Legacy 67,2009,Movie,"Comedy, Thriller",MX Player,6.8,Telugu
Kahaani Evolution 43,2025,TV Series,Romance,Planet Marathi,0.0,Hindi
KGF Evolution 40,1998,Movie,"Comedy, History",Disney+,4.0,Kannada
Singam Part 2 72,2002,Movie,"Animation, Biography, Fantasy",Amazon Prime,6.6,Tamil
Apna Part 1 16,2021,TV Series,Action,Apple TV+,9.2,Hindi
Anbu Part 1 49,2017,TV Series,"Action, History",SonyLIV,7.7,Tamil
Katha Rebirth 19,2019,Movie,Biography,Hulu,8.8,Marathi
Apna Legacy 96,2012,TV Series,"Fantasy, Thriller",Netflix,7.2,Hindi
Nayak Rebirth 47,2002,TV Series,Romance,Theatrical,9.4,Kannada
Beyond the Part 2 50,2008,Movie,Thriller,Amazon Prime,4.0,English
Veeram Legacy 95,2012,Movie,"Animation, Romance",SonyLIV,5.0,Tamil
Raju Part 1 77,2009,Movie,"Horror, Romance",Disney+,6.4,Telugu
KGF Part 1 83,1995,TV Series,"Romance, Biography, Sci-Fi",Netflix,5.2,Kannada
Drishyam Forever 76,1994,TV Series,"Comedy, Mystery",HBO Max,7.0,Malayalam
Secret Story 40,2014,Movie,"Thriller, Drama",Disney+,6.7,English
Dost Part 2 42,2023,Movie,"Biography, Action, Comedy",Apple TV+,5.1,Hindi
The Last Returns 53,2005,Movie,"Mystery, Horror",MX Player,5.7,English
Ammayum Chronicles 20,1998,TV Series,"History, Biography, Horror",Planet Marathi,6.9,Malayalam
KGF Rebirth 46,2014,TV Series,"Sci-Fi, Action, Comedy",MX Player,6.2,Kannada
Dil Part 2 95,2017,TV Series,"Fantasy, Animation",Apple TV+,9.4,Hindi
Kantara Evolution 21,2016,Movie,"Animation, History, Drama",Amazon Prime,8.6,Kannada
War for Legacy 36,2014,TV Series,"History, Comedy, Romance",Amazon Prime,8.8,English
War for Chronicles 70,2009,TV Series,"Thriller, Crime, Romance",Apple TV+,8.5,English
Journey to Legacy 81,2016,TV Series,"Comedy, Thriller",SonyLIV,5.1,English
Mauli Legacy 16,2025,TV Series,Thriller,Hulu,0.0,Marathi
Empire of Forever 84,2008,Movie,"History, Biography, Drama",Amazon Prime,7.1,English
Rise of Rebirth 71,2017,TV Series,"Thriller, History, Romance",HBO Max,8.0,English
Empire of Chronicles 98,2011,Movie,Action,Disney+,7.9,English
Singam Forever 45,2008,TV Series,"History, Mystery",Apple TV+,9.2,Tamil
KGF Part 1 42,2022,Movie,Fantasy,HBO Max,7.4,Kannada
Achanum Rebirth 21,1995,Movie,"Romance, Horror",Amazon Prime,4.1,Malayalam
Puli Story 92,2004,TV Series,Horror,Apple TV+,4.5,Tamil
Journey to Part 1 27,2016,Movie,"Thriller, Comedy",Netflix,5.1,English
Yathra Chronicles 74,1994,TV Series,Horror,Netflix,8.6,Malayalam
Legacy of Part 1 65,2022,Movie,Mystery,Planet Marathi,5.2,English
Drishyam Rebirth 19,1993,Movie,Action,Hulu,5.4,Malayalam
Vikram Legacy 34,1996,TV Series,Drama,Disney+,9.0,Telugu
Katha Part 1 99,1999,Movie,Thriller,Theatrical,9.0,Malayalam
Ammayum Origin 95,2015,Movie,"History, Sci-Fi",Disney+,4.9,Malayalam
Dil Returns 77,2017,TV Series,"Crime, Comedy, Drama",Theatrical,5.4,Hindi
Katha Rebirth 28,2010,TV Series,"Horror, Mystery",SonyLIV,4.2,Marathi
Sankranti Forever 54,2009,TV Series,"Crime, Animation",Planet Marathi,7.8,Kannada
Snehithan Part 1 70,2017,TV Series,"Mystery, Action, Comedy",Disney+,9.5,Malayalam
Beyond the Rebirth 83,2012,Movie,"Romance, Animation, Action",Theatrical,7.5,English
Vat Returns 26,2009,Movie,"Comedy, Thriller, Mystery",Disney+,4.8,Marathi
Orma Forever 6,2001,Movie,"Action, Mystery, Horror",HBO Max,9.5,Malayalam
Dharma Forever 26,2020,TV Series,"Animation, Horror",SonyLIV,4.5,Kannada
Sankranthi Story 42,2022,TV Series,"Romance, Biography",HBO Max,4.9,Telugu
Kahaani Evolution 96,1991,Movie,"Comedy, Horror, Crime",Theatrical,5.7,Hindi
Snehithan Story 65,2008,Movie,"Fantasy, Romance, Mystery",MX Player,4.7,Malayalam
Orma Forever 56,2002,Movie,Biography,Netflix,4.6,Malayalam
Baba Returns 13,2006,Movie,"Animation, Mystery",Netflix,8.8,Marathi
Orma Chronicles 8,2006,Movie,Sci-Fi,HBO Max,7.7,Malayalam
Prema Evolution 13,2003,TV Series,"Drama, Action, Mystery",Apple TV+,9.4,Telugu
Zindagi Legacy 67,2026,TV Series,"Sci-Fi, Crime",Hulu,0.0,Hindi
Pushpa Origin 91,2006,Movie,Crime,Hulu,5.5,Telugu
Puli Rebirth 21,2018,TV Series,"Action, Thriller",Theatrical,7.8,Tamil
Vat Forever 99,2024,Movie,"History, Fantasy",Theatrical,9.3,Marathi
Swapna Part 1 68,2008,TV Series,"Drama, Biography, Romance",Hulu,9.3,Marathi
Baahubali Evolution 94,2011,Movie,Horror,Amazon Prime,8.3,Telugu
Maitri Chronicles 71,2009,Movie,"Mystery, Romance, Crime",Apple TV+,8.7,Marathi
Journey to Origin 19,2012,TV Series,"Romance, Action, Animation",Planet Marathi,4.4,English
Raju Origin 55,2014,TV Series,Fantasy,MX Player,7.0,Telugu
Dharma Legacy 12,1991,Movie,Romance,Hulu,6.4,Kannada
Dharma Legacy 60,1997,Movie,Sci-Fi,Theatrical,9.0,Telugu
Ladhai Part 2 29,2015,Movie,"Mystery, Drama",HBO Max,4.1,Marathi
Achanum Part 1 84,2019,TV Series,Sci-Fi,MX Player,7.6,Malayalam
Shadow of Story 82,1990,TV Series,"Sci-Fi, Comedy, Crime",Hulu,4.9,English
Singam Rebirth 24,2018,TV Series,"History, Thriller",Disney+,6.5,Tamil
Orma Returns 19,1998,Movie,"Fantasy, Biography",MX Player,9.5,Malayalam
Apna Chronicles 80,2025,Movie,Drama,Hulu,0.0,Hindi
Rise of Story 45,1995,Movie,Mystery,MX Player,4.3,English
Nayak Chronicles 51,2023,TV Series,Action,Planet Marathi,7.9,Kannada
Premachi Part 1 72,2002,Movie,Action,Netflix,8.8,Marathi
Veedu Origin 61,2020,TV Series,"Thriller, Drama",Disney+,9.1,Malayalam
Premachi Part 1 14,2012,TV Series,"Biography, History, Crime",SonyLIV,5.0,Marathi
Nayak Story 66,2026,TV Series,"Comedy, Drama, Mystery",Planet Marathi,0.0,Kannada
Jung Part 1 68,1995,TV Series,Horror,Theatrical,7.5,Hindi
Swapna Part 2 87,1991,TV Series,"Drama, Action",Hulu,7.8,Marathi
Sankranti Chronicles 52,2014,TV Series,Drama,Apple TV+,6.5,Kannada
The Last Forever 90,2025,TV Series,Animation,Apple TV+,0.0,English
Simham Rebirth 5,2008,Movie,"Comedy, History, Animation",Disney+,7.6,Telugu
Legacy of Legacy 48,2000,TV Series,"Animation, Biography",Hulu,9.2,English
Rise of Story 48,2020,TV Series,"Sci-Fi, Animation",Planet Marathi,4.6,English
Premachi Part 1 39,2008,TV Series,Comedy,Netflix,5.8,Marathi
Ladhai Rebirth 96,1992,Movie,Thriller,Netflix,6.1,Marathi
Yuddha Origin 37,2004,Movie,"Drama, Comedy",Apple TV+,8.9,Kannada
Singam Rebirth 48,2018,TV Series,"Action, Crime",Planet Marathi,7.1,Tamil
Dharma Origin 67,1993,Movie,"Comedy, Sci-Fi",Apple TV+,4.6,Kannada
Journey to Evolution 98,2004,Movie,"Animation, History, Romance",Disney+,9.1,English
Jung Forever 10,2022,Movie,"Comedy, Horror",Apple TV+,5.7,Hindi
Journey to Origin 75,2005,TV Series,"Mystery, Crime, Action",Amazon Prime,5.0,English
Swapna Origin 64,2013,Movie,"Fantasy, Action",MX Player,4.8,Marathi
Beyond the Returns 93,2018,TV Series,"Biography, Drama",MX Player,6.1,English
Baba Part 1 43,1996,TV Series,Horror,Hulu,6.7,Marathi
Goshta Story 61,2019,Movie,"Crime, Sci-Fi",Planet Marathi,4.4,Marathi
Empire of Story 20,1993,Movie,"Crime, Horror, Mystery",Disney+,9.2,English
Yaara Returns 31,1995,TV Series,Animation,Netflix,8.1,Hindi
Swapna Chronicles 12,2019,Movie,"Horror, Sci-Fi, Thriller",Netflix,4.1,Marathi
Yathra Story 88,2001,Movie,"Crime, Biography, History",Theatrical,5.0,Malayalam
Ammayum Part 1 39,1995,TV Series,"Fantasy, Mystery",HBO Max,8.8,Malayalam
Katha Part 1 69,2001,Movie,Mystery,MX Player,6.7,Marathi
Thalaiva Origin 68,1995,Movie,"Romance, History, Biography",MX Player,6.9,Tamil
Pushpa Chronicles 20,1992,Movie,Biography,SonyLIV,5.0,Telugu
Orma Evolution 76,2004,TV Series,"Fantasy, Sci-Fi",Hulu,6.1,Malayalam
Goshta Origin 86,2013,TV Series,"Fantasy, Crime, Biography",Disney+,6.4,Marathi
Empire of Evolution 46,2022,Movie,Mystery,HBO Max,9.2,English
Simham Chronicles 45,2021,Movie,"Romance, Fantasy",Netflix,4.0,Telugu
Kadhal Rebirth 72,2026,Movie,"Drama, Action, Romance",MX Player,0.0,Tamil
Swapna Returns 18,1998,TV Series,"Mystery, Fantasy",Amazon Prime,7.0,Marathi
Yathra Rebirth 56,2006,TV Series,Thriller,HBO Max,8.8,Malayalam
Nayakudu Forever 33,2002,TV Series,Drama,Disney+,8.3,Telugu
Jung Rebirth 22,2008,TV Series,"Mystery, Fantasy",Amazon Prime,8.6,Hindi
Sankranthi Forever 8,2001,Movie,"Biography, Sci-Fi",SonyLIV,8.4,Telugu
Preethi Part 1 24,1998,Movie,"Biography, Sci-Fi, Crime",Amazon Prime,5.4,Kannada
Empire of Forever 25,1990,TV Series,Mystery,SonyLIV,5.5,English
Pranayam Returns 16,1995,Movie,Crime,HBO Max,5.0,Malayalam
Puli Evolution 22,2024,Movie,"History, Animation, Horror",MX Player,9.1,Tamil
KGF Story 32,1997,Movie,Sci-Fi,Planet Marathi,4.8,Kannada
Yuddha Forever 29,1997,Movie,Sci-Fi,HBO Max,8.2,Kannada
Mauli Part 1 2,2025,TV Series,Thriller,Theatrical,0.0,Marathi
Ladhai Part 2 67,2021,Movie,"Drama, Thriller, Crime",Planet Marathi,8.8,Marathi
Dil Evolution 16,1991,TV Series,Sci-Fi,Amazon Prime,7.0,Hindi
War for Origin 43,1993,TV Series,"Crime, Action",Apple TV+,5.7,English
Katha Evolution 75,1990,TV Series,Drama,HBO Max,6.8,Marathi
Yathra Origin 41,2006,Movie,History,Planet Marathi,6.1,Malayalam
Lost in Chronicles 87,2009,TV Series,History,Planet Marathi,4.0,English
Simha Chronicles 22,2000,Movie,Drama,Apple TV+,5.3,Kannada
Safar Evolution 85,1991,TV Series,"Thriller, Comedy, History",Hulu,4.9,Hindi
KGF Part 1 55,2025,TV Series,"History, Drama",SonyLIV,0.0,Kannada
Nayakan Part 1 1,2021,TV Series,"Fantasy, History, Animation",Disney+,8.1,Tamil
Vetrimaran Returns 48,2015,TV Series,"Romance, Action",Netflix,4.2,Tamil
Katha Origin 53,2017,TV Series,"Fantasy, Comedy",Hulu,5.0,Malayalam
Simham Rebirth 10,2023,TV Series,"Drama, Fantasy",Netflix,8.1,Telugu
Dil Legacy 9,2018,TV Series,Horror,Apple TV+,5.1,Hindi
Rise of Evolution 71,2004,TV Series,"Drama, Thriller",Amazon Prime,9.0,English
Pushpa Evolution 78,1997,Movie,Crime,Apple TV+,4.2,Telugu
Veeram Chronicles 74,2009,Movie,Sci-Fi,Amazon Prime,7.8,Tamil
Vikrama Part 1 58,2012,Movie,"Fantasy, Horror, Biography",Amazon Prime,8.1,Kannada
Premachi Rebirth 24,1991,Movie,"Crime, Thriller",Disney+,5.3,Marathi
Journey to Legacy 77,2005,Movie,Romance,Hulu,7.1,English
Veeram Part 1 90,2011,Movie,Fantasy,MX Player,6.5,Tamil
Apna Returns 4,1997,Movie,"Fantasy, Horror",SonyLIV,8.9,Hindi
Vikram Part 2 48,1993,Movie,"Animation, History",MX Player,7.8,Telugu
Raaz Legacy 33,2019,TV Series,"Animation, Biography, Drama",Apple TV+,8.9,Hindi
Preethi Legacy 64,2010,Movie,Sci-Fi,Disney+,9.4,Kannada
Simham Legacy 49,2019,Movie,"Horror, Thriller",MX Player,6.4,Telugu
Pushpa Legacy 39,2022,Movie,"Crime, Horror",Theatrical,6.1,Telugu
Zindagi Evolution 10,1994,TV Series,"Mystery, Fantasy",MX Player,6.0,Hindi
Vikram Origin 93,1994,Movie,"Drama, Crime, Action",SonyLIV,4.7,Telugu
Simha Story 63,2026,Movie,"Comedy, Action",SonyLIV,0.0,Kannada
Katha Origin 16,2012,TV Series,Animation,Netflix,7.9,Marathi
Zindagi Chronicles 9,2006,Movie,"Romance, Comedy, Action",Theatrical,5.6,Hindi
Katha Chronicles 52,2026,Movie,"Animation, Horror",HBO Max,0.0,Marathi
Orma Forever 57,2000,TV Series,"History, Animation",Netflix,5.9,Malayalam
Nayakudu Part 2 25,2001,TV Series,Mystery,MX Player,7.3,Telugu
Dharma Rebirth 16,2012,TV Series,Sci-Fi,SonyLIV,9.3,Telugu
Aai Part 2 98,2018,Movie,"Fantasy, Action, Crime",Planet Marathi,9.5,Marathi
Simham Part 2 95,2017,TV Series,"Sci-Fi, Action, Fantasy",Hulu,6.7,Telugu
Beyond the Part 1 40,2006,TV Series,"Drama, Crime, Biography",Hulu,4.9,English
Pushpa Story 10,2014,TV Series,"Horror, Thriller",HBO Max,7.9,Telugu
Dost Returns 97,2026,TV Series,"History, Sci-Fi, Animation",Disney+,0.0,Hindi
Kantara Evolution 30,2001,TV Series,"Drama, Sci-Fi, Horror",MX Player,7.6,Kannada
Yaara Story 31,2026,TV Series,"Fantasy, Thriller",Theatrical,0.0,Hindi
Veeram Returns 47,2011,Movie,"Crime, History",Disney+,5.6,Tamil
Maitri Part 1 79,2023,TV Series,"Biography, Fantasy",Apple TV+,7.4,Marathi
Dil Forever 75,2009,Movie,"Romance, Biography",Netflix,7.4,Hindi
Maitri Origin 44,1999,TV Series,Drama,Hulu,8.9,Marathi
Dost Part 1 2,1997,Movie,Fantasy,Planet Marathi,7.1,Hindi
Zindagi Part 1 38,1997,TV Series,Sci-Fi,SonyLIV,7.0,Hindi
Snehithan Chronicles 45,2016,Movie,"Fantasy, Action, Romance",Theatrical,4.7,Malayalam
Goshta Story 88,2025,TV Series,"Crime, Sci-Fi",Disney+,0.0,Marathi
Anbu Story 57,1992,Movie,"Drama, Fantasy",Amazon Prime,7.9,Tamil
Vikram Rebirth 44,2021,TV Series,Comedy,Netflix,7.2,Telugu
Dharma Origin 49,1992,Movie,"Mystery, History",Disney+,7.9,Kannada
Prem Chronicles 97,2023,TV Series,"Mystery, Drama",Theatrical,8.3,Hindi
Katha Forever 77,1990,Movie,"Drama, Crime",Planet Marathi,9.3,Marathi
Jung Returns 87,1990,TV Series,"Action, History, Fantasy",Planet Marathi,4.7,Hindi
Dost Chronicles 21,2014,Movie,Sci-Fi,Planet Marathi,8.4,Hindi
Yathra Part 2 59,2021,Movie,"Action, History",Apple TV+,4.9,Malayalam
Apna Chronicles 56,1991,Movie,"Fantasy, Animation, Biography",Disney+,5.3,Hindi
Singam Part 1 63,2021,TV Series,"Comedy, Thriller",Netflix,8.1,Tamil
Legacy of Chronicles 31,2009,TV Series,"Animation, History, Crime",Hulu,8.2,English
KGF Evolution 31,2017,Movie,"Comedy, Thriller",Hulu,7.5,Kannada
Katha Rebirth 6,1994,Movie,"Action, Crime",Apple TV+,9.4,Marathi
Asuran Rebirth 61,2021,Movie,"Horror, Mystery, History",Disney+,9.2,Tamil
War for Evolution 85,2003,Movie,"Animation, Comedy",Disney+,6.7,English
Simham Evolution 35,1991,TV Series,"Horror, Thriller",SonyLIV,8.2,Telugu
Sankranthi Rebirth 29,2012,TV Series,"Action, Horror",Disney+,7.4,Telugu
Vikrama Legacy 78,2006,Movie,Biography,HBO Max,5.6,Kannada
Vikrama Origin 13,1990,Movie,"History, Crime",Apple TV+,9.0,Kannada
Yuddham Forever 21,2018,Movie,Biography,Netflix,7.5,Telugu
War for Story 16,2013,TV Series,"Horror, History",MX Player,9.3,English
Veedu Origin 97,1997,TV Series,"Sci-Fi, Romance, Drama",Apple TV+,6.4,Malayalam
Beyond the Forever 56,1997,TV Series,"Biography, Crime, Horror",Planet Marathi,7.3,English
Nayakan Legacy 9,1997,TV Series,"History, Animation, Drama",Netflix,6.5,Tamil
Yuddham Evolution 72,2000,TV Series,Horror,Disney+,5.7,Telugu
Sankranthi Part 2 46,2011,TV Series,"Drama, Comedy, Horror",Amazon Prime,9.3,Telugu
Ladhai Part 1 72,2021,Movie,Crime,Amazon Prime,5.9,Marathi
Vikram Chronicles 66,2000,Movie,Animation,Netflix,5.5,Telugu
Singam Evolution 9,1999,Movie,Fantasy,Planet Marathi,6.1,Tamil
Beyond the Legacy 7,1994,Movie,Fantasy,Hulu,5.6,English
Nayakan Legacy 3,2006,TV Series,Mystery,Planet Marathi,8.4,Tamil
Raju Forever 39,1996,TV Series,"Action, Animation, Biography",Apple TV+,5.7,Telugu
Sankranthi Part 1 67,2004,Movie,Drama,SonyLIV,4.3,Telugu
Yathra Story 70,1991,Movie,"History, Comedy, Drama",Hulu,5.2,Malayalam
Maitri Evolution 77,2000,TV Series,Sci-Fi,Theatrical,5.0,Marathi
Nayak Chronicles 29,2010,Movie,"Comedy, Sci-Fi",SonyLIV,7.1,Kannada
Kadhal Returns 35,2019,TV Series,Romance,Apple TV+,8.0,Tamil
Maitri Story 83,2018,Movie,"History, Sci-Fi",Planet Marathi,5.6,Marathi
Goshta Returns 81,2002,Movie,"Action, Mystery",Disney+,7.2,Marathi
Orma Forever 43,2012,TV Series,"Romance, Mystery, Comedy",Amazon Prime,8.5,Malayalam
Beyond the Part 1 92,2024,Movie,"Mystery, Thriller, Animation",Planet Marathi,5.0,English
Sankranthi Origin 61,2007,TV Series,"Crime, Horror, Action",Planet Marathi,6.7,Telugu
Katha Chronicles 53,2023,TV Series,Crime,HBO Max,8.9,Marathi
Premam Part 2 34,1997,TV Series,"Comedy, Horror, Thriller",HBO Max,6.1,Malayalam
Preethi Part 2 54,2022,Movie,Comedy,Netflix,6.0,Kannada
Simham Origin 37,1994,Movie,"Mystery, Animation, Biography",MX Player,7.3,Telugu
Baba Legacy 49,1996,Movie,"Drama, Action, Horror",Apple TV+,5.1,Marathi
Maitri Forever 41,2014,TV Series,Fantasy,Planet Marathi,9.0,Marathi
Vat Story 43,2011,TV Series,Horror,Theatrical,8.4,Marathi
Mauli Story 74,1993,TV Series,"Horror, Thriller, Fantasy",Apple TV+,4.8,Marathi
Lagaan,2001,Movie,"Drama, Musical, Sport",Theatrical,8.1,Hindi
Orma Story 31,2016,Movie,"Crime, Action, Comedy",SonyLIV,4.2,Malayalam
Apna Returns 25,2023,TV Series,Animation,Disney+,4.1,Hindi
Nayakudu Rebirth 37,1995,Movie,"Comedy, Mystery, Horror",Hulu,5.2,Telugu
War for Returns 48,2011,TV Series,"Horror, Mystery, Romance",Apple TV+,5.8,English
Dharma Evolution 15,2021,Movie,"Drama, Comedy",Hulu,5.4,Telugu
Safar Evolution 38,1999,Movie,"Animation, Drama, Crime",Amazon Prime,7.4,Hindi
Apna Rebirth 23,1999,TV Series,"Drama, Fantasy",Disney+,9.4,Hindi
Yathra Part 2 46,1990,Movie,"Mystery, Comedy",Apple TV+,7.2,Malayalam
Singam Legacy 19,1991,Movie,Thriller,HBO Max,9.0,Tamil
Sankranti Returns 100,2012,Movie,Thriller,Netflix,4.8,Kannada
Yuddham Evolution 53,2002,TV Series,"Biography, Drama",SonyLIV,8.3,Telugu
Journey to Part 1 31,2013,Movie,Action,Apple TV+,4.8,English
Dil Evolution 17,1991,Movie,"Action, Horror, Thriller",HBO Max,7.7,Hindi
Pushpa Forever 94,2024,TV Series,Horror,HBO Max,6.3,Telugu
Jung Part 1 97,2000,TV Series,"History, Fantasy",Amazon Prime,7.2,Hindi
Shadow of Returns 75,2008,Movie,Animation,Theatrical,4.7,English
Sankranti Chronicles 86,1997,TV Series,"Fantasy, Sci-Fi",HBO Max,4.1,Kannada
Veedu Evolution 48,2001,TV Series,"Crime, Biography",Netflix,5.7,Malayalam
Sankranthi Story 76,2008,Movie,"Drama, Mystery",Theatrical,6.5,Telugu
Maitri Legacy 77,2005,Movie,Comedy,Amazon Prime,5.2,Marathi
Simha Part 2 11,2018,TV Series,Action,SonyLIV,8.8,Kannada
Singam Rebirth 46,2026,TV Series,"Romance, Comedy",SonyLIV,0.0,Tamil
KGF Part 1 19,2007,Movie,"Horror, Crime",MX Player,6.3,Kannada
Maitri Legacy 99,2007,TV Series,Animation,Apple TV+,7.2,Marathi
Achanum Forever 10,2011,Movie,"Action, Mystery, Fantasy",Theatrical,9.1,Malayalam
Vikrama Origin 99,2026,Movie,"Animation, Romance, Sci-Fi",MX Player,0.0,Kannada
